credit_id,person_imdb_id,work_id,entity_class,role
cr_tmdb_credits_000030,nm5000067,game_igdb_games_0009,Game,producer
cr_tmdb_credits_000031,nm5000014,tt6000038,Episode,actor
cr_tmdb_credits_000032,nm5000073,game_igdb_games_0001,Game,actor
cr_tmdb_credits_000033,nm5000052,tt6000021,Episode,writer
cr_tmdb_credits_000034,nm5000048,tt6000015,Episode,actor
cr_tmdb_credits_000035,nm5000004,tt4000025,Movie,ACTOR
cr_tmdb_credits_000036,nm5000017,tt4000007,Movie,DIRECTOR
cr_tmdb_credits_000037,nm5000044,tt4000014,Movie,composer
cr_tmdb_credits_000038,nm5000064,tt6000005,Episode,actor
cr_tmdb_credits_000039,nm5000047,game_igdb_games_0006,Game,composer
cr_tmdb_credits_000040,nm5000050,game_igdb_games_0004,Game,director
cr_tmdb_credits_000041,nm5000077,game_igdb_games_0003,Game,composer
cr_tmdb_credits_000042,nm5000042,tt6000028,Episode,director
cr_tmdb_credits_000043,nm5000015,tt9999999,Movie,composer
cr_tmdb_credits_000044,nm5000038,game_igdb_games_0003,Game,director
cr_tmdb_credits_000045,nm5000076,tt5000000,Series,producer
cr_tmdb_credits_000046,nm5000076,tt5000001,Series,writer
cr_tmdb_credits_000047,nm5000040,tt6000007,Episode,Writer
cr_tmdb_credits_000048,nm5000009,tt5000008,Series,writer
cr_tmdb_credits_000049,nm5000013,game_igdb_games_0003,Game,producer
cr_tmdb_credits_000050,nm5000050,tt5000003,Series,actor
cr_tmdb_credits_000051,nm5000058,game_igdb_games_0002,Game,producer
cr_tmdb_credits_000052,nm5000039,tt6000012,Episode,producer
cr_tmdb_credits_000053,nm5000055,tt6000001,Episode,producer
cr_tmdb_credits_000054,nm5000075,game_igdb_games_0006,Game,writer
cr_tmdb_credits_000055,nm5000079,tt5000004,Series,composer
cr_tmdb_credits_000056,nm5000025,tt5000001,Series,writer
cr_tmdb_credits_000057,nm5000065,tt4000028,Movie,Director
cr_tmdb_credits_000058,nm5000044,tt4000020,Movie,director
cr_tmdb_credits_000059,nm5000032,tt5000003,Series,producer
cr_tmdb_credits_000060,nm5000066,tt6000001,Episode,writer
cr_tmdb_credits_000061,nm5000069,game_igdb_games_0000,Game,producer
cr_tmdb_credits_000062,nm5000032,tt4000013,Movie,writer
cr_tmdb_credits_000063,nm5000068,game_igdb_games_0006,Game,director
cr_tmdb_credits_000064,nm5000020,tt5000004,Series,composer
cr_tmdb_credits_000065,nm5000070,tt5000009,Series,director
cr_tmdb_credits_000066,nm5000062,tt6000030,Episode,director
cr_tmdb_credits_000067,nm5000020,game_igdb_games_0002,Game,actor
cr_tmdb_credits_000068,nm5000002,tt5000008,Series,producer
cr_tmdb_credits_000069,nm5000048,tt6000027,Episode,producer
cr_tmdb_credits_000070,nm5000038,tt5000000,Series,writer
cr_tmdb_credits_000071,nm5000016,tt6000045,Episode,Director
cr_tmdb_credits_000072,nm5000038,tt4000029,Movie,composer
cr_tmdb_credits_000073,nm5000020,game_igdb_games_0009,Game,director
cr_tmdb_credits_000074,nm5000019,tt9999999,Movie,producer
cr_tmdb_credits_000075,nm5000077,tt5000009,Series,actor
cr_tmdb_credits_000076,nm5000018,tt6000020,Episode,actor
cr_tmdb_credits_000077,nm5000066,tt4000019,Movie,actor
cr_tmdb_credits_000078,nm5000015,tt4000016,Movie,Composer
cr_tmdb_credits_000079,nm5000070,tt6000035,Episode,director
cr_tmdb_credits_000080,nm5000049,game_igdb_games_0008,Game,writer
cr_tmdb_credits_000081,nm5000017,game_igdb_games_0006,Game,composer
cr_tmdb_credits_000082,nm5000031,tt6000028,Episode,director
cr_tmdb_credits_000083,nm5000018,tt4000025,Movie,cOMPOSER
cr_tmdb_credits_000084,nm5000066,tt4000000,Movie,actor
cr_tmdb_credits_000085,nm5000049,tt9999999,Movie,director
cr_tmdb_credits_000086,nm5000008,tt5000001,Series,producer
cr_tmdb_credits_000087,nm5000023,tt5000009,Series,writer
cr_tmdb_credits_000088,nm5000052,tt5000006,Series,composer
cr_tmdb_credits_000089,nm5000071,tt6000039,Episode,actor
cr_tmdb_credits_000090,nm5000074,tt6000020,Episode,composer
cr_tmdb_credits_000091,nm5000035,tt6000038,Episode,producer
cr_tmdb_credits_000092,nm5000020,tt5000006,Series,PRODUCER
cr_tmdb_credits_000093,nm5000061,tt5000000,Series,producer
cr_tmdb_credits_000094,nm5000015,game_igdb_games_0001,Game,writer
cr_tmdb_credits_000095,nm5000074,game_igdb_games_0006,Game,actor
cr_tmdb_credits_000096,nm5000018,tt6000025,Episode,director
cr_tmdb_credits_000097,nm5000026,game_igdb_games_0003,Game,producer
cr_tmdb_credits_000098,nm5000069,tt4000012,Movie,actor
cr_tmdb_credits_000099,nm5000066,tt5000008,Series,director
