credit_id,person_imdb_id,work_id,entity_class,role
cr_imdb_credits_000041,nm5000001,tt5000000,Series,writer
cr_imdb_credits_000042,nm5000044,tt6000010,Episode,DIRECTOR
cr_imdb_credits_000043,nm5000071,game_igdb_games_0000,Game,director
cr_imdb_credits_000044,nm5000076,game_igdb_games_0004,Game,actor
cr_imdb_credits_000045,nm5000039,tt5000006,Series,Actor
cr_imdb_credits_000046,nm5000032,tt6000013,Episode,composer
cr_imdb_credits_000047,nm5000021,game_igdb_games_0000,Game,director
cr_imdb_credits_000048,nm5000061,tt4000021,Movie,producer
cr_imdb_credits_000049,nm5000024,game_igdb_games_0006,Game,director
cr_imdb_credits_000050,nm5000028,tt4000024,Movie,director
cr_imdb_credits_000051,nm5000013,tt4000007,Movie,director
cr_imdb_credits_000052,nm5000040,tt4000003,Movie,composer
cr_imdb_credits_000053,nm5000006,tt6000002,Episode,actor
cr_imdb_credits_000054,nm5000072,tt6000014,Episode,Composer
cr_imdb_credits_000055,nm5000036,tt6000037,Episode,writer
cr_imdb_credits_000056,nm5000052,game_igdb_games_0007,Game,actor
cr_imdb_credits_000057,nm5000074,game_igdb_games_0005,Game,producer
cr_imdb_credits_000058,nm5000042,tt6000048,Episode,producer
cr_imdb_credits_000059,nm5000074,tt5000004,Series,writer
cr_imdb_credits_000060,nm5000016,tt5000003,Series,composer
cr_imdb_credits_000061,nm5000066,tt4000014,Movie,writer
cr_imdb_credits_000062,nm5000009,tt4000026,Movie,actor
cr_imdb_credits_000063,nm5000023,game_igdb_games_0008,Game,composer
cr_imdb_credits_000064,nm5000048,game_igdb_games_0000,Game,director
cr_imdb_credits_000065,nm5000065,tt4000026,Movie,writer
cr_imdb_credits_000066,nm5000002,game_igdb_games_0001,Game,director
cr_imdb_credits_000067,nm5000050,tt4000010,Movie,composer
cr_imdb_credits_000068,nm5000079,tt5000009,Series,composer
cr_imdb_credits_000069,nm5000022,tt5000003,Series,composer
cr_imdb_credits_000070,nm5000055,game_igdb_games_0000,Game,actor
cr_imdb_credits_000071,nm5000017,tt4000005,Movie,composer
cr_imdb_credits_000072,nm5000040,game_igdb_games_0000,Game,actor
cr_imdb_credits_000073,nm5000020,game_igdb_games_0003,Game,writer
cr_imdb_credits_000074,nm5000022,tt5000009,Series,producer
cr_imdb_credits_000075,nm5000003,tt6000010,Episode,composer
cr_imdb_credits_000076,nm5000039,tt6000043,Episode,Writer
cr_imdb_credits_000077,nm5000048,tt4000003,Movie,composer
cr_imdb_credits_000078,nm5000043,tt4000023,Movie,actor
cr_imdb_credits_000079,nm5000022,tt4000003,Movie,composer
cr_imdb_credits_000080,nm5000033,game_igdb_games_0009,Game,writer
cr_imdb_credits_000081,nm5000074,tt6000030,Episode,producer
cr_imdb_credits_000082,nm5000022,game_igdb_games_0003,Game,director
cr_imdb_credits_000083,nm5000050,tt5000009,Series,writer
cr_imdb_credits_000084,nm5000028,tt6000010,Episode,director
cr_imdb_credits_000085,nm5000012,tt4000014,Movie,producer
cr_imdb_credits_000086,nm5000058,tt5000001,Series,producer
cr_imdb_credits_000087,nm5000068,tt5000009,Series,director
cr_imdb_credits_000088,nm5000040,tt6000013,Episode,director
cr_imdb_credits_000089,nm5000063,tt6000039,Episode,dIRECTOR
cr_imdb_credits_000090,nm5000003,tt4000002,Movie,composer
cr_imdb_credits_000091,nm5000040,tt6000018,Episode,ACTOR
cr_imdb_credits_000092,nm5000072,game_igdb_games_0003,Game,actor
cr_imdb_credits_000093,nm5000049,tt6000006,Episode,composer
cr_imdb_credits_000094,nm5000020,tt4000021,Movie,actor
cr_imdb_credits_000095,nm5000047,game_igdb_games_0001,Game,actor
cr_imdb_credits_000096,nm5000032,tt4000023,Movie,director
cr_imdb_credits_000097,nm5000001,game_igdb_games_0005,Game,producer
cr_imdb_credits_000098,nm5000011,tt5000009,Series,composer
cr_imdb_credits_000099,nm5000077,tt4000002,Movie,composer
