credit_id,movie_imdb_id,person_imdb_id,role
cr_wikidata_credits_000175,tt2000011,nm3000086,producer
cr_wikidata_credits_000176,tt2000065,nm3000112,director
cr_wikidata_credits_000177,tt2000038,nm3000076,composer
cr_wikidata_credits_000178,tt2000059,nm3000140,writer
cr_wikidata_credits_000179,tt2000019,nm3000108,actor
cr_wikidata_credits_000180,tt2000044,nm3000103,actor
cr_wikidata_credits_000181,tt2000017,nm3000152,writer
cr_wikidata_credits_000182,tt2000032,nm3000015,producer
cr_wikidata_credits_000183,tt2000045,nm3000151,director
cr_wikidata_credits_000184,tt2000015,nm3000035,composer
cr_wikidata_credits_000185,tt2000018,nm3000003,actor
cr_wikidata_credits_000186,tt2000006,nm3000032,writer
cr_wikidata_credits_000187,tt2000018,nm3000076,director
cr_wikidata_credits_000188,tt2000020,nm3000040,producer
cr_wikidata_credits_000189,tt2000037,nm3000023,composer
cr_wikidata_credits_000190,tt2000047,nm3000023,writer
cr_wikidata_credits_000191,tt2000073,nm3000114,writer
cr_wikidata_credits_000192,tt2000059,nm3000099,writer
cr_wikidata_credits_000193,tt2000098,nm3000044,writer
cr_wikidata_credits_000194,tt2000099,nm3000166,actor
cr_wikidata_credits_000195,tt2000062,nm3000114,director
cr_wikidata_credits_000196,tt2000088,nm3000117,actor
cr_wikidata_credits_000197,tt2000065,nm3000091,Actor
cr_wikidata_credits_000198,tt9999198,nm3000081,writer
cr_wikidata_credits_000199,tt2000097,nm3000117,producer
cr_wikidata_credits_000200,tt2000070,nm3000057,producer
cr_wikidata_credits_000201,tt2000080,nm3000077,producer
cr_wikidata_credits_000202,tt2000003,nm3000188,composer
cr_wikidata_credits_000203,tt2000001,nm3000077,composer
cr_wikidata_credits_000204,tt2000033,nm3000140,writer
cr_wikidata_credits_000205,tt2000061,nm3000186,writer
cr_wikidata_credits_000206,tt2000068,nm3000181,producer
cr_wikidata_credits_000207,tt2000057,nm3000191,writer
cr_wikidata_credits_000208,tt2000000,nm3000078,actor
cr_wikidata_credits_000209,tt2000092,nm3000149,actor
cr_wikidata_credits_000210,tt2000054,nm3000006,WRITER
cr_wikidata_credits_000211,tt2000013,nm3000171,composer
cr_wikidata_credits_000212,tt2000070,nm3000152,producer
cr_wikidata_credits_000213,tt2000004,nm3000068,composer
cr_wikidata_credits_000214,tt2000022,nm3000044,director
cr_wikidata_credits_000215,tt2000020,nm3000012,director
cr_wikidata_credits_000216,tt2000045,nm3000028,producer
cr_wikidata_credits_000217,tt2000017,nm3000013,actor
cr_wikidata_credits_000218,tt2000098,nm3000026,actor
cr_wikidata_credits_000219,tt2000097,nm3000165,actor
cr_wikidata_credits_000220,tt2000076,nm3000011,composer
cr_wikidata_credits_000221,tt2000077,nm3000065,composer
cr_wikidata_credits_000222,tt2000001,nm3000076,actor
cr_wikidata_credits_000223,tt2000028,nm3000036,director
cr_wikidata_credits_000224,tt2000083,nm3000124,composer
cr_wikidata_credits_000225,tt2000035,nm3000087,composer
cr_wikidata_credits_000226,tt2000008,nm3000003,writer
cr_wikidata_credits_000227,tt2000023,nm3000102,actor
cr_wikidata_credits_000228,tt2000058,nm3000022,composer
cr_wikidata_credits_000229,tt2000086,nm3000049,composer
cr_wikidata_credits_000230,tt2000062,nm3000130,director
cr_wikidata_credits_000231,tt2000043,nm3000021,composer
cr_wikidata_credits_000232,tt2000085,nm3000065,composer
cr_wikidata_credits_000233,tt2000040,nm3000140,director
cr_wikidata_credits_000234,tt2000036,nm3000120,composer
cr_wikidata_credits_000235,tt2000005,nm3000123,producer
cr_wikidata_credits_000236,tt2000057,nm3000082,director
cr_wikidata_credits_000237,tt2000089,nm3000111,writer
cr_wikidata_credits_000238,tt2000098,nm3000100,actor
cr_wikidata_credits_000239,tt2000074,nm3000049,director
cr_wikidata_credits_000240,tt2000073,nm3000006,composer
cr_wikidata_credits_000241,tt2000055,nm3000179,director
cr_wikidata_credits_000242,tt2000005,nm3000067,director
cr_wikidata_credits_000243,tt2000045,nm3000113,composer
cr_wikidata_credits_000244,tt2000016,nm3000134,composer
cr_wikidata_credits_000245,tt2000022,nm3000029,composer
cr_wikidata_credits_000246,tt2000002,nm3000142,composer
cr_wikidata_credits_000247,tt2000065,nm3000089,wRITER
cr_wikidata_credits_000248,tt2000044,nm3000143,director
cr_wikidata_credits_000249,tt2000094,nm3000199,composer
cr_wikidata_credits_000250,tt2000061,nm3000007,writer
cr_wikidata_credits_000251,tt2000019,nm3000183,producer
cr_wikidata_credits_000252,tt2000010,nm3000062,producer
cr_wikidata_credits_000253,tt2000010,nm3000052,actor
cr_wikidata_credits_000254,tt2000035,nm3000158,writer
cr_wikidata_credits_000255,tt2000023,nm3000083,actor
cr_wikidata_credits_000256,tt2000006,nm3000115,Director
cr_wikidata_credits_000257,tt2000084,nm3000090,director
cr_wikidata_credits_000258,tt2000072,nm3000185,composer
cr_wikidata_credits_000259,tt9999259,nm3000013,actor
cr_wikidata_credits_000260,tt2000089,nm3000125,composer
cr_wikidata_credits_000261,tt2000061,nm3000035,writer
cr_wikidata_credits_000262,tt2000087,nm3000195,composer
cr_wikidata_credits_000263,tt2000071,nm3000194,actor
cr_wikidata_credits_000264,tt2000004,nm3000177,producer
cr_wikidata_credits_000265,tt2000092,nm3000036,director
cr_wikidata_credits_000266,tt2000008,nm3000163,writer
cr_wikidata_credits_000267,tt2000093,nm3000124,actor
cr_wikidata_credits_000268,tt2000041,nm3000048,writer
cr_wikidata_credits_000269,tt2000094,nm3000052,actor
cr_wikidata_credits_000270,tt2000063,nm3000187,director
cr_wikidata_credits_000271,tt2000060,nm3000197,writer
cr_wikidata_credits_000272,tt2000082,nm3000142,composer
cr_wikidata_credits_000273,tt2000026,nm3000144,actor
cr_wikidata_credits_000274,tt2000047,nm3000188,director
cr_wikidata_credits_000275,tt2000057,nm3000124,writer
cr_wikidata_credits_000276,tt2000054,nm3000173,actor
cr_wikidata_credits_000277,tt2000036,nm3000053,producer
cr_wikidata_credits_000278,tt2000022,nm3000197,actor
cr_wikidata_credits_000279,tt2000041,nm3000133,composer
cr_wikidata_credits_000280,tt2000010,nm3000055,producer
cr_wikidata_credits_000281,tt2000033,nm3000132,director
cr_wikidata_credits_000282,tt2000025,nm3000193,director
cr_wikidata_credits_000283,tt2000068,nm3000110,producer
cr_wikidata_credits_000284,tt2000062,nm3000136,ACTOR
cr_wikidata_credits_000285,tt2000011,nm3000086,producer
cr_wikidata_credits_000286,tt2000074,nm3000046,producer
cr_wikidata_credits_000287,tt2000065,nm3000156,actor
cr_wikidata_credits_000288,tt2000094,nm3000162,writer
cr_wikidata_credits_000289,tt2000049,nm3000170,director
cr_wikidata_credits_000290,tt2000015,nm3000007,writer
cr_wikidata_credits_000291,tt2000056,nm3000147,writer
cr_wikidata_credits_000292,tt2000084,nm3000156,composer
cr_wikidata_credits_000293,tt2000048,nm3000047,producer
cr_wikidata_credits_000294,tt2000057,nm3000027,producer
cr_wikidata_credits_000295,tt2000003,nm3000010,composer
cr_wikidata_credits_000296,tt2000005,nm3000120,composer
cr_wikidata_credits_000297,tt2000005,nm3000180,actor
cr_wikidata_credits_000298,tt2000015,nm3000020,producer
cr_wikidata_credits_000299,tt2000086,nm3000017,producer
cr_wikidata_credits_000300,tt2000058,nm3000021,director
cr_wikidata_credits_000301,tt2000041,nm3000046,director
cr_wikidata_credits_000302,tt2000018,nm3000125,director
cr_wikidata_credits_000303,tt2000005,nm3000013,producer
cr_wikidata_credits_000304,tt2000028,nm3000053,producer
cr_wikidata_credits_000305,tt2000015,nm3000052,producer
cr_wikidata_credits_000306,tt2000056,nm3000113,writer
cr_wikidata_credits_000307,tt2000080,nm3000112,actor
cr_wikidata_credits_000308,tt2000099,nm3000115,director
cr_wikidata_credits_000309,tt2000001,nm3000115,producer
cr_wikidata_credits_000310,tt2000064,nm3000193,actor
cr_wikidata_credits_000311,tt2000043,nm3000035,producer
cr_wikidata_credits_000312,tt2000007,nm3000018,writer
cr_wikidata_credits_000313,tt2000070,nm3000061,producer
cr_wikidata_credits_000314,tt2000031,nm3000027,director
cr_wikidata_credits_000315,tt9999315,nm3000186,producer
cr_wikidata_credits_000316,tt2000063,nm3000178,director
cr_wikidata_credits_000317,tt2000068,nm3000012,producer
cr_wikidata_credits_000318,tt2000088,nm3000027,actor
cr_wikidata_credits_000319,tt2000060,nm3000052,actor
cr_wikidata_credits_000320,tt2000066,nm3000136,composer
cr_wikidata_credits_000321,tt2000048,nm3000141,producer
cr_wikidata_credits_000322,tt2000041,nm3000102,composer
cr_wikidata_credits_000323,tt2000022,nm3000051,composer
cr_wikidata_credits_000324,tt2000031,nm3000152,writer
cr_wikidata_credits_000325,tt2000033,nm3000167,composer
cr_wikidata_credits_000326,tt2000068,nm3000061,producer
cr_wikidata_credits_000327,tt2000048,nm3000125,producer
cr_wikidata_credits_000328,tt2000053,nm3000025,producer
cr_wikidata_credits_000329,tt2000096,nm3000108,composer
cr_wikidata_credits_000330,tt2000097,nm3000181,composer
cr_wikidata_credits_000331,tt2000084,nm3000054,director
cr_wikidata_credits_000332,tt2000093,nm3000022,composer
cr_wikidata_credits_000333,tt2000059,nm3000186,writer
cr_wikidata_credits_000334,tt2000068,nm3000109,actor
cr_wikidata_credits_000335,tt2000001,nm3000182,producer
cr_wikidata_credits_000336,tt2000026,nm3000178,writer
cr_wikidata_credits_000337,tt2000013,nm3000149,writer
cr_wikidata_credits_000338,tt2000040,nm3000104,composer
cr_wikidata_credits_000339,tt2000077,nm3000181,producer
cr_wikidata_credits_000340,tt2000028,nm3000021,composer
cr_wikidata_credits_000341,tt2000024,nm3000101,producer
cr_wikidata_credits_000342,tt2000095,nm3000069,composer
cr_wikidata_credits_000343,tt2000070,nm3000106,composer
cr_wikidata_credits_000344,tt2000059,nm3000104,director
cr_wikidata_credits_000345,tt2000044,nm3000042,director
cr_wikidata_credits_000346,tt2000022,nm3000121,composer
cr_wikidata_credits_000347,tt2000004,nm3000162,writer
cr_wikidata_credits_000348,tt2000084,nm3000043,composer
cr_wikidata_credits_000349,tt2000003,nm3000144,writer
