imdb_id,name,birthdate,country,wikidata_id
nm3000087,Gus Van Sant,05/25/1947,BR,Q7000087
nm3000088,Todd Solondz,03/10/1970,FR,Q7000088
nm3000089,Mary Harron,05/15/1940,GB,Q7000089
nm3000090,Kathryn Bigelow,04/28/1953,IT,Q7000090
nm3000091,Jane Campion,11/07/1938,RU,
nm3000092,Lynne Ramsay,01/18/1948,CN,Q7000092
nm3000093,Andrea Arnold,12/27/1958,IT,Q7000093
nm3000094,Kelly Reichardt,03/13/1959,JP,Q7000094
nm3000095,Debra Granik,11/28/1976,CN,Q7000095
nm3000096,Ava DuVernay,04/22/1941,CN,
nm3000097,Ryan Coogler,10/19/1979,DE,
nm3000098,Barry Jenkins,02/06/1951,JP,
nm3000099,Jordan Peele,,JP,Q7000099
nm3000100,Dee Rees,01/20/1924,BR,Q7000100
nm3000101,Chloé Zhao,11/08/1943,DE,Q7000101
nm3000102,Steve McQueen,04/20/1924,CN,
nm3000103,Amma Asante,08/03/1921,MX,Q7000103
nm3000104,Yann Demange,07/15/1968,US,Q7000104
nm3000105,Sam Mendes,03/06/1973,IT,Q7000105
nm3000106,Danny Boyle,05/28/1948,MX,
nm3000107,Mike Leigh,06/17/1972,DE,
nm3000108,Ken Loach,08/01/1931,IT,Q7000108
nm3000109,Stephen Frears,12/08/1936,JP,
nm3000110,Neil Jordan,09/11/1968,BR,Q7000110
nm3000111,John Boorman,04/21/1945,JP,Q7000111
nm3000112,Nicolas Roeg,01/28/1955,BR,Q7000112
nm3000113,Lindsay Anderson,07/21/1937,JP,Q7000113
nm3000114,Derek Jarman,11/17/1963,JP,Q7000114
nm3000115,Terence Davies,08/20/1949,JP,Q7000115
nm3000116,Sally Potter,12/14/1971,DE,Q7000116
nm3000117,Peter Greenaway,11/09/1974,MX,Q7000117
nm3000118,Mike Figgis,04/16/1953,FR,
nm3000119,Ridley Scott,07/06/1960,IT,Q7000119
nm3000120,Tony Scott,07/12/1948,CN,Q7000120
nm3000121,Alan Parker,12/26/1923,DE,Q7000121
nm3000122,Adrian Lyne,08/17/1954,DE,
nm3000123,John Schlesinger,10/22/1927,JP,Q7000123
nm3000124,Karel Reisz,05/16/1967,JP,Q7000124
nm3000125,Lindsay Anderson,09/04/1976,CN,
nm3000126,Alexander Mackendrick,11/06/1979,DE,Q7000126
nm3000127,  Carol Reed  ,12/07/1925,US,
nm3000128,David Lean,04/18/1952,FR,Q7000128
nm3000129,Anthony Asquith,07/09/1941,BR,Q7000129
nm3000130,Michael Powell,08/23/1926,US,Q7000130
nm3000131,Emeric Pressburger,06/04/1929,FR,Q7000131
nm3000132,Humphrey Jennings,05/11/1966,RU,Q7000132
nm3000133,Alberto Cavalcanti,10/11/1980,GB,
nm3000134,Thorold Dickinson,02/01/1963,DE,Q7000134
nm3000135,Charles Crichton,01/25/1955,GB,Q7000135
nm3000136,Henry Cornelius,04/07/1954,US,Q7000136
nm3000137,Basil Dearden,04/20/1943,DE,Q7000137
nm3000138,Ronald Neame,02/12/1955,CN,Q7000138
nm3000139,Guy Hamilton,01/07/1938,JP,Q7000139
nm3000140,John Guillermin,07/01/1976,IT,Q7000140
nm3000141,Jack Clayton,09/10/1957,RU,Q7000141
nm3000142,Bryan Forbes,05/18/1959,BR,Q7000142
nm3000143,Joseph Losey,09/24/1933,DE,Q7000143
nm3000144,John Huston,05/04/1936,FR,
nm3000145,William Wyler,05/04/1922,GB,
nm3000146,George Stevens,05/11/1937,GB,
nm3000147,Fred Zinnemann,01/24/1950,BR,
nm3000148,Robert Wise,05/22/1973,IT,Q7000148
nm3000149,Sidney Lumet,09/05/1964,IT,Q7000149
nm3000150,John Cassavetes,07/27/1961,IT,Q7000150
nm3000151,Arthur Penn,04/26/1957,BR,
nm3000152,Sam Peckinpah,03/18/1971,US,
nm3000153,Don Siegel,04/14/1920,DE,Q7000153
nm3000154,Robert Altman,09/19/1976,MX,Q7000154
nm3000155,Hal Ashby,,IT,Q7000155
nm3000156,Monte Hellman,02/26/1980,MX,Q7000156
nm3000157,Jerry Schatzberg,12/20/1973,BR,Q7000157
nm3000158,Bob Rafelson,02/03/1921,CN,Q7000158
nm3000159,John Schlesinger,02/09/1971,BR,
nm3000160,Mike Nichols,01/15/1941,RU,
nm3000161,Bob Fosse,02/06/1931,DE,Q7000161
nm3000162,Alan J. Pakula,08/01/1932,IT,Q7000162
nm3000163,Peter Bogdanovich,04/06/1980,FR,Q7000163
nm3000164,Brian De Palma,11/18/1925,US,
nm3000165,William Friedkin,02/14/1922,BR,
nm3000166,Francis Ford Coppola,06/28/1929,DE,Q7000166
nm3000167,Martin Scorsese,02/01/1935,FR,
,  Woody Allen  ,06/10/1974,MX,Q7000168
nm3000169,Elaine May,11/13/1956,CN,
nm3000170,Joan Micklin Silver,02/17/1953,JP,Q7000170
nm3000171,Barbara Loden,07/25/1937,IT,Q7000171
nm3000172,Claudia Weill,04/25/1962,DE,Q7000172
nm3000173,Joyce Chopra,10/24/1950,RU,Q7000173
nm3000174,Susan Seidelman,03/03/1922,JP,
nm3000175,Martha Coolidge,11/11/1970,CN,Q7000175
nm3000176,Penny Marshall,05/16/1971,MX,
nm3000177,Amy Heckerling,01/17/1976,DE,
nm3000178,Mary Lambert,12/27/1941,RU,
nm3000179,Kathryn Bigelow,12/03/1934,IT,
nm3000180,Mimi Leder,06/23/1955,BR,Q7000180
nm3000181,Betty Thomas,10/18/1964,US,Q7000181
nm3000182,Nora Ephron,12/21/1931,CN,Q7000182
nm3000183,Nancy Meyers,10/19/1954,GB,Q7000183
nm3000184,Nora Ephron,05/18/1966,FR,
nm3000185,Jodie Foster,09/27/1939,JP,Q7000185
nm3000186,Tom Hanks,08/23/1958,JP,Q7000186
nm3000187,Meryl Streep,04/03/1964,FR,Q7000187
nm3000188,Jack Nicholson,06/03/1976,DE,
nm3000189,Cate Blanchett,12/01/1977,FR,Q7000189
nm3000190,Denzel Washington,08/22/1962,JP,Q7000190
nm3000191,Jodie Foster,12/13/1953,GB,Q7000191
nm3000192,Robert De Niro,06/25/1964,DE,Q7000192
nm3000193,Natalie Portman,06/07/1929,IT,Q7000193
nm3000194,Al Pacino,09/17/1930,BR,Q7000194
nm3000195,Kate Winslet,01/25/1970,GB,Q7000195
nm3000196,Dustin Hoffman,,CN,
nm3000197,Halle Berry,07/09/1932,BR,
nm3000198,Gene Hackman,04/28/1961,DE,Q7000198
nm3000199,Charlize Theron,09/01/1961,US,Q7000199
