credit_id,movie_imdb_id,person_imdb_id,role
cr_imdb_credits_000147,tt2000028,nm3000035,actor
cr_imdb_credits_000148,tt2000082,nm3000072,writer
cr_imdb_credits_000149,tt2000040,nm3000101,writer
cr_imdb_credits_000150,tt2000021,nm3000137,producer
cr_imdb_credits_000151,tt2000084,nm3000143,actor
cr_imdb_credits_000152,tt2000097,nm3000108,producer
cr_imdb_credits_000153,tt2000000,nm3000081,composer
cr_imdb_credits_000154,tt2000006,nm3000190,writer
cr_imdb_credits_000155,tt2000058,nm3000086,composer
cr_imdb_credits_000156,tt2000090,nm3000121,writer
cr_imdb_credits_000157,tt2000066,nm3000020,writer
cr_imdb_credits_000158,tt2000021,nm3000164,composer
cr_imdb_credits_000159,tt2000076,nm3000184,director
cr_imdb_credits_000160,tt2000021,nm3000078,composer
cr_imdb_credits_000161,tt2000029,nm3000013,producer
cr_imdb_credits_000162,tt2000020,nm3000028,wRITER
cr_imdb_credits_000163,tt2000058,nm3000165,producer
cr_imdb_credits_000164,tt2000073,nm3000021,actor
cr_imdb_credits_000165,tt2000027,nm3000121,producer
cr_imdb_credits_000166,tt2000063,nm3000106,producer
cr_imdb_credits_000167,tt2000006,nm3000044,producer
cr_imdb_credits_000168,tt2000064,nm3000021,director
cr_imdb_credits_000169,tt2000027,nm3000105,actor
cr_imdb_credits_000170,tt2000088,nm3000180,producer
cr_imdb_credits_000171,tt2000084,nm3000009,actor
cr_imdb_credits_000172,tt2000055,nm3000130,writer
cr_imdb_credits_000173,tt2000093,nm3000127,producer
cr_imdb_credits_000174,tt2000074,nm3000116,producer
cr_imdb_credits_000175,tt2000033,nm3000106,actor
cr_imdb_credits_000176,tt2000003,nm3000006,director
cr_imdb_credits_000177,tt2000053,nm3000042,director
cr_imdb_credits_000178,tt2000062,nm3000002,actor
cr_imdb_credits_000179,tt2000070,nm3000191,director
cr_imdb_credits_000180,tt2000028,nm3000068,composer
cr_imdb_credits_000181,tt2000004,nm3000044,director
cr_imdb_credits_000182,tt2000045,nm3000083,producer
cr_imdb_credits_000183,tt2000067,nm3000183,writer
cr_imdb_credits_000184,tt2000098,nm3000171,actor
cr_imdb_credits_000185,tt2000012,nm3000177,producer
cr_imdb_credits_000186,tt2000088,nm3000005,actor
cr_imdb_credits_000187,tt2000080,nm3000142,Composer
cr_imdb_credits_000188,tt2000008,nm3000072,actor
cr_imdb_credits_000189,tt2000097,nm3000024,director
cr_imdb_credits_000190,tt2000026,nm3000068,director
cr_imdb_credits_000191,tt2000061,nm3000170,actor
cr_imdb_credits_000192,tt2000000,nm3000198,producer
cr_imdb_credits_000193,tt2000012,nm3000042,producer
cr_imdb_credits_000194,tt2000001,nm3000113,writer
cr_imdb_credits_000195,tt2000077,nm3000164,actor
cr_imdb_credits_000196,tt2000039,nm3000043,producer
cr_imdb_credits_000197,tt2000014,nm3000145,producer
cr_imdb_credits_000198,tt2000056,nm3000169,actor
cr_imdb_credits_000199,tt2000092,nm3000002,producer
cr_imdb_credits_000200,tt2000078,nm3000110,composer
cr_imdb_credits_000201,tt2000006,nm3000178,composer
cr_imdb_credits_000202,tt2000042,nm3000141,producer
cr_imdb_credits_000203,tt2000066,nm3000186,director
cr_imdb_credits_000204,tt2000033,nm3000096,actor
cr_imdb_credits_000205,tt2000090,nm3000146,actor
cr_imdb_credits_000206,tt2000075,nm3000066,director
cr_imdb_credits_000207,tt2000076,nm3000098,director
cr_imdb_credits_000208,tt2000053,nm3000081,composer
cr_imdb_credits_000209,tt2000077,nm3000130,director
cr_imdb_credits_000210,tt2000031,nm3000137,director
cr_imdb_credits_000211,tt2000035,nm3000016,writer
cr_imdb_credits_000212,tt2000004,nm3000044,actor
cr_imdb_credits_000213,tt2000051,nm3000131,writer
cr_imdb_credits_000214,tt2000070,nm3000056,director
cr_imdb_credits_000215,tt2000095,nm3000064,WRITER
cr_imdb_credits_000216,tt2000084,nm3000151,writer
cr_imdb_credits_000217,tt2000040,nm3000092,actor
cr_imdb_credits_000218,tt2000063,nm3000105,actor
cr_imdb_credits_000219,tt2000010,nm3000128,producer
cr_imdb_credits_000220,tt2000054,nm3000122,actor
cr_imdb_credits_000221,tt2000091,nm3000086,producer
cr_imdb_credits_000222,tt2000049,nm3000160,producer
cr_imdb_credits_000223,tt2000035,nm3000190,director
cr_imdb_credits_000224,tt2000055,nm3000149,actor
cr_imdb_credits_000225,tt2000004,nm3000083,composer
cr_imdb_credits_000226,tt2000021,nm3000143,producer
cr_imdb_credits_000227,tt2000014,nm3000182,writer
cr_imdb_credits_000228,tt2000089,nm3000136,writer
cr_imdb_credits_000229,tt2000043,nm3000099,writer
cr_imdb_credits_000230,tt2000083,nm3000055,producer
cr_imdb_credits_000231,tt2000052,nm3000041,director
cr_imdb_credits_000232,tt2000027,nm3000179,writer
cr_imdb_credits_000233,tt2000069,nm3000131,producer
cr_imdb_credits_000234,tt2000096,nm3000126,director
cr_imdb_credits_000235,tt2000048,nm3000094,director
cr_imdb_credits_000236,tt2000077,nm3000174,producer
cr_imdb_credits_000237,tt2000031,nm3000101,writer
cr_imdb_credits_000238,tt2000035,nm3000070,producer
cr_imdb_credits_000239,tt2000008,nm3000185,writer
cr_imdb_credits_000240,tt2000002,nm3000155,producer
cr_imdb_credits_000241,tt2000013,nm3000173,actor
cr_imdb_credits_000242,tt2000033,nm3000060,pRODUCER
cr_imdb_credits_000243,tt2000012,nm3000183,producer
cr_imdb_credits_000244,tt2000010,nm3000141,actor
cr_imdb_credits_000245,tt2000041,nm3000135,writer
cr_imdb_credits_000246,tt2000037,nm3000092,director
cr_imdb_credits_000247,tt2000047,nm3000108,writer
cr_imdb_credits_000248,tt2000039,nm3000152,actor
cr_imdb_credits_000249,tt2000035,nm3000082,director
cr_imdb_credits_000250,tt2000094,nm3000004,producer
cr_imdb_credits_000251,tt2000006,nm3000155,writer
cr_imdb_credits_000252,tt2000028,nm3000128,actor
cr_imdb_credits_000253,tt2000022,nm3000056,composer
cr_imdb_credits_000254,tt2000066,nm3000119,writer
cr_imdb_credits_000255,tt2000043,nm3000070,actor
cr_imdb_credits_000256,tt2000028,nm3000084,actor
cr_imdb_credits_000257,tt2000021,nm3000139,composer
cr_imdb_credits_000258,tt2000092,nm3000090,producer
cr_imdb_credits_000259,tt2000007,nm3000025,producer
cr_imdb_credits_000260,tt2000053,nm3000105,writer
cr_imdb_credits_000261,tt2000061,nm3000112,director
cr_imdb_credits_000262,tt2000036,nm3000173,actor
cr_imdb_credits_000263,tt2000015,nm3000108,actor
cr_imdb_credits_000264,tt2000059,nm3000102,PRODUCER
cr_imdb_credits_000265,tt2000072,nm3000164,producer
cr_imdb_credits_000266,tt2000087,nm3000036,director
cr_imdb_credits_000267,tt2000058,nm3000131,composer
cr_imdb_credits_000268,tt2000003,nm3000013,actor
cr_imdb_credits_000269,tt2000048,nm3000041,producer
cr_imdb_credits_000270,tt2000068,nm3000064,composer
cr_imdb_credits_000271,tt2000002,nm3000122,composer
cr_imdb_credits_000272,tt2000036,nm3000146,composer
cr_imdb_credits_000273,tt2000061,nm3000127,actor
cr_imdb_credits_000274,tt2000042,nm3000135,actor
cr_imdb_credits_000275,tt2000042,nm3000037,Composer
cr_imdb_credits_000276,tt2000012,nm3000161,producer
cr_imdb_credits_000277,tt2000008,nm3000034,composer
cr_imdb_credits_000278,tt2000071,nm3000039,composer
cr_imdb_credits_000279,tt2000056,nm3000105,producer
cr_imdb_credits_000280,tt2000020,nm3000167,director
cr_imdb_credits_000281,tt2000045,nm3000180,producer
cr_imdb_credits_000282,tt2000049,nm3000116,director
cr_imdb_credits_000283,tt2000010,nm3000171,producer
cr_imdb_credits_000284,tt2000034,nm3000081,composer
cr_imdb_credits_000285,tt2000032,nm3000087,composer
cr_imdb_credits_000286,tt2000026,nm3000066,actor
cr_imdb_credits_000287,tt2000094,nm3000020,actor
cr_imdb_credits_000288,tt2000086,nm3000032,actor
cr_imdb_credits_000289,tt2000002,nm3000095,writer
cr_imdb_credits_000290,tt2000022,nm3000079,actor
cr_imdb_credits_000291,tt2000016,nm3000171,writer
cr_imdb_credits_000292,tt2000096,nm3000163,actor
cr_imdb_credits_000293,tt2000074,nm3000157,actor
cr_imdb_credits_000294,tt2000064,nm3000043,actor
cr_imdb_credits_000295,tt2000043,nm3000103,producer
cr_imdb_credits_000296,tt2000029,nm3000101,producer
cr_imdb_credits_000297,tt2000026,nm3000006,writer
cr_imdb_credits_000298,tt2000035,nm3000168,composer
cr_imdb_credits_000299,tt2000014,nm3000036,director
cr_imdb_credits_000300,tt2000039,nm3000025,writer
cr_imdb_credits_000301,tt2000045,nm3000089,actor
cr_imdb_credits_000302,tt2000028,nm3000096,actor
cr_imdb_credits_000303,tt2000041,nm3000019,writer
cr_imdb_credits_000304,tt2000038,nm3000141,actor
cr_imdb_credits_000305,tt2000026,nm3000108,composer
cr_imdb_credits_000306,tt2000092,nm3000150,composer
cr_imdb_credits_000307,tt2000027,nm3000143,actor
cr_imdb_credits_000308,tt2000094,nm3000135,producer
cr_imdb_credits_000309,tt2000063,nm3000015,writer
cr_imdb_credits_000310,tt2000026,nm3000016,composer
cr_imdb_credits_000311,tt2000016,nm3000036,composer
cr_imdb_credits_000312,tt2000044,nm3000155,composer
cr_imdb_credits_000313,tt2000012,nm3000130,actor
cr_imdb_credits_000314,tt2000085,nm3000083,actor
cr_imdb_credits_000315,tt2000060,nm3000044,writer
cr_imdb_credits_000316,tt2000048,nm3000036,producer
cr_imdb_credits_000317,tt2000055,nm3000086,actor
cr_imdb_credits_000318,tt2000072,nm3000175,writer
cr_imdb_credits_000319,tt2000031,nm3000082,actor
cr_imdb_credits_000320,tt2000065,nm3000187,Director
cr_imdb_credits_000321,tt2000081,nm3000186,director
cr_imdb_credits_000322,tt2000097,nm3000184,writer
cr_imdb_credits_000323,tt2000017,nm3000044,actor
cr_imdb_credits_000324,tt2000079,nm3000154,producer
cr_imdb_credits_000325,tt2000071,nm3000022,producer
cr_imdb_credits_000326,tt2000036,nm3000178,writer
cr_imdb_credits_000327,tt2000013,nm3000094,writer
cr_imdb_credits_000328,tt2000013,nm3000187,producer
cr_imdb_credits_000329,tt2000007,nm3000015,actor
cr_imdb_credits_000330,tt2000096,nm3000030,composer
cr_imdb_credits_000331,tt2000023,nm3000031,director
cr_imdb_credits_000332,tt2000058,nm3000056,writer
cr_imdb_credits_000333,tt2000047,nm3000170,writer
cr_imdb_credits_000334,tt2000079,nm3000170,director
cr_imdb_credits_000335,tt2000040,nm3000164,director
cr_imdb_credits_000336,tt2000085,nm3000100,composer
cr_imdb_credits_000337,tt2000084,nm3000055,director
cr_imdb_credits_000338,tt2000012,nm3000143,producer
cr_imdb_credits_000339,tt2000004,nm3000145,actor
cr_imdb_credits_000340,tt2000095,nm3000026,producer
cr_imdb_credits_000341,tt2000028,nm3000101,actor
cr_imdb_credits_000342,tt2000034,nm3000070,director
cr_imdb_credits_000343,tt2000074,nm3000116,composer
cr_imdb_credits_000344,tt2000000,nm3000155,writer
cr_imdb_credits_000345,tt2000032,nm3000150,composer
cr_imdb_credits_000346,tt2000034,nm3000192,producer
cr_imdb_credits_000347,tt2000055,nm3000062,director
cr_imdb_credits_000348,tt2000042,nm3000199,actor
cr_imdb_credits_000349,tt2000062,nm3000065,writer
