imdb_id,title,year,runtime_minutes,rating,genres
tt2000074,The Shawshank Redemption,1992,110,7.0,Adventure
tt2000075,Goodfellas,1995,106,4.5,Crime
tt2000076,,1992,155,6.6,Adventure|Western
tt2000077,Casablanca,2005,94,5.3,Mystery|Crime
tt2000078,Citizen Kane,2002,151,7.4,Crime|Action
tt2000079,Vertigo,1992,104,9.6,Fantasy|Thriller
,Rear Window,2002,165,7.9,Drama|Western
tt2000081,North by Northwest,2004,178,7.7,Sci-Fi|Crime
tt2000082,Psycho,0,186,4.7,Animation
tt2000083,  2001: A Space Odyssey   ,1992,143,,Western|Action
tt2000084,A Clockwork Orange,1998,161,5.8,Crime
tt2000085,Dr. Strangelove,1997,99,8.7,Documentary
tt2000086,The Shining,1992,201,8.1,Documentary
tt2000087,Full Metal Jacket,1991,150,4.6,Sci-Fi|Thriller
tt2000088,The Matrix,2003,87,7.4,Adventure|Western
tt2000089,The Sixth Sense,1998,168,5.6,Crime|Horror
tt2000090,Fight Club,2006,152,0.0,Western|Action
tt2000091,American Beauty,1999,91,5.4,Animation|Crime
tt2000092,The Green Mile,1988,148,9.3,Adventure
tt2000093,Magnolia,2005,145,9.8,Documentary|Mystery
tt2000094,Eyes Wide Shut,1992,108,6.1,Thriller|Adventure
tt2000095,The Insider,2001,195,8.4,Fantasy|Documentary   
tt2000096,Being John Malkovich,1985,168,8.1,Thriller|Mystery
tt2000097,Three Kings,2002,196,9.3,Crime
tt2000098,Office Space,1993,125,6.7,Horror|Drama
tt2000099,Election,2003,119,4.8,Adventure|Romance
